calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y,cov_00,cov_01,cov_10,cov_11,movement_name
0,0.001,0.0009,15,-0.020131641684588628,-0.00040291955068398735,-0.02,0.0,3.189454562341215e-07,1.8445793025685327e-07,1.8445793025685327e-07,2.235504641119255e-07,-90 to 0 deg
1,0.001,0.0009,15,-0.00043753872431889394,0.018718026737470046,0.0,0.019,3.7341928318554904e-07,3.9319266651686747e-07,3.9319266651686747e-07,5.945130876929974e-07,-90 to 0 deg
2,0.001,0.0009,15,-0.02118490287345035,-0.019631927144024012,-0.02,-0.019,5.230473080263906e-07,3.783487791105465e-07,3.783487791105465e-07,3.9415444756504753e-07,-90 to 0 deg
3,0.001,0.0009,15,-0.04690638350057536,0.02471945701206097,-0.05,0.01,2.0616422819318042e-07,9.518025206022838e-08,9.518025206022838e-08,1.6900452314025464e-07,-90 to 0 deg
0,0.001,0.0009,15,-0.02009806108373557,-0.00013803479024843436,-0.02,0.0,3.253520697681984e-07,2.1295260527629604e-07,2.1295260527629604e-07,2.6380815201014597e-07,-90 to 0 deg
1,0.001,0.0009,15,-0.0005919057452172891,0.018359691442615768,0.0,0.019,3.6403180404320296e-07,3.7167749635836887e-07,3.7167749635836887e-07,5.55278652396786e-07,-90 to 0 deg
2,0.001,0.0009,15,-0.02129504416653753,-0.019664877541489014,-0.02,-0.019,4.70961129413157e-07,3.4448729898472956e-07,3.4448729898472956e-07,3.7545840959751944e-07,-90 to 0 deg
3,0.001,0.0009,15,-0.04786157201625463,0.02421666595567229,-0.05,0.01,2.1506242459379585e-07,9.322583287490102e-08,9.322583287490102e-08,1.6039075875020222e-07,-90 to 0 deg
0,0.001,0.0009,15,-0.020285090888998172,-0.0002505632001823095,-0.02,0.0,3.143888743558235e-07,1.9057323116680002e-07,1.9057323116680002e-07,2.3575312961691657e-07,-90 to 0 deg
1,0.001,0.0009,15,-0.0011941053394304998,0.01787918327155648,0.0,0.019,3.279167538022293e-07,3.2870556034709486e-07,3.2870556034709486e-07,5.06456988915011e-07,-90 to 0 deg
2,0.001,0.0009,15,-0.020727711923909296,-0.019257960519777323,-0.02,-0.019,4.364960007893989e-07,3.4767367587217133e-07,3.4767367587217133e-07,4.1020892216411525e-07,-90 to 0 deg
3,0.001,0.0009,15,-0.04823602328430033,0.02453756824930016,-0.05,0.01,2.2170153473302648e-07,9.241133704377711e-08,9.241133704377711e-08,1.5543322938814083e-07,-90 to 0 deg
0,0.001,0.0009,15,-0.02060353113622218,-0.00038085045791970483,-0.02,0.0,2.993122615898282e-07,1.791763518675829e-07,1.791763518675829e-07,2.2838988473612168e-07,-90 to 0 deg
1,0.001,0.0009,15,-0.0008639369860955282,0.01784848808157189,0.0,0.019,3.083729303613874e-07,3.1882124677315835e-07,3.1882124677315835e-07,5.153798695669563e-07,-90 to 0 deg
2,0.001,0.0009,15,-0.021428514108106277,-0.019797120427931983,-0.02,-0.019,5.3237492706005e-07,4.1139064082501493e-07,4.1139064082501493e-07,4.439075183943365e-07,-90 to 0 deg
