sigma_pos,sigma_theta,sigma_encoder,k,connected,limb_id,child_id,cost_per_obs,cov_trace,cj_x,cj_y,cj_theta
0.05,0.09,0.0009,20,False,3,6,11.19935750656692,0.0005002088508054654,-0.1328204620309598,-0.01574417093361901,0.0003357875535283119
0.05,0.09,0.0009,20,True,4,5,0.7413083736662626,0.0005045644626114927,-0.001725326034021775,-0.006275278942477152,2.906797711630346e-06
0.05,0.09,0.0009,20,False,6,0,27.95224110695541,0.0005001089142642298,-0.143206421820804,-0.001994628642215222,-0.0001498571348018433
0.05,0.09,0.0009,20,True,6,7,0.833558280575627,0.0005035750107893046,-0.019390076560030133,0.00926610508177605,-4.445552863530615e-05
0.05,0.09,0.0009,20,False,6,3,28.39672756341107,0.0005001503215690503,-0.1405893242839769,0.012875735177092926,-0.00028022758347851564
0.05,0.09,0.0009,20,True,7,8,0.8809848842837603,0.0005050325560999878,0.005012601577181925,-0.017449178261776038,-6.704420031706069e-06
0.05,0.09,0.0009,20,True,0,1,1.444819232542725,0.0005019077849425508,-0.055758732731211805,-0.006378764609609647,9.304494068195247e-06
0.05,0.09,0.0009,20,False,0,3,24.413974708892468,0.0005001068405446831,-0.1439168210677566,0.001702195797425214,-0.0001389079681647338
0.05,0.09,0.0009,20,False,0,6,22.757440995581444,0.0005001305480649325,-0.13977178967781728,-0.007225766521663056,-1.0617811016490366e-05
0.05,0.09,0.0009,20,False,3,0,13.481947341653248,0.0005001188876472748,-0.1467527632712483,-0.009422086823737456,0.0001991032735357074
0.05,0.09,0.0009,20,False,3,6,11.19935750656692,0.0005002088508054654,-0.1328204620309598,-0.01574417093361901,0.0003357875535283119
0.05,0.09,0.0009,20,True,4,5,0.7413083736662626,0.0005045644626114927,-0.001725326034021775,-0.006275278942477152,2.906797711630346e-06
0.05,0.09,0.0009,20,False,6,0,28.5641783961319,0.0005001163946565271,-0.14375396422787218,-0.006929039797386779,-0.00017008499583177862
0.05,0.09,0.0009,20,True,6,7,0.833558280575627,0.0005035750107893046,-0.019390076560030133,0.00926610508177605,-4.445552863530615e-05
0.05,0.09,0.0009,20,False,6,3,29.093411993512724,0.0005001468275417206,-0.14122678488546858,0.012654983516240734,-0.00032099037246406437
0.05,0.09,0.0009,20,True,7,8,0.8809848842837603,0.0005050325560999878,0.005012601577181925,-0.017449178261776038,-6.704420031706069e-06
0.05,0.09,0.0009,20,True,0,1,1.444819232542725,0.0005019077849425508,-0.055758732731211805,-0.006378764609609647,9.304494068195247e-06
0.05,0.09,0.0009,20,False,0,3,23.259763305990333,0.0005001499448649873,-0.13428611217452813,0.0023593496015517166,-0.00010777796484242114
0.05,0.09,0.0009,20,False,0,6,22.757440995581444,0.0005001305480649325,-0.13977178967781728,-0.007225766521663056,-1.0617811016490366e-05
0.05,0.09,0.0009,20,True,1,2,1.0750815846151496,0.0005047052818844783,-0.0010925604836334497,-0.02336338812865201,-3.32217364632464e-05
0.05,0.09,0.0009,20,False,3,0,13.481947341653248,0.0005001188876472748,-0.1467527632712483,-0.009422086823737456,0.0001991032735357074
0.05,0.09,0.0009,20,False,3,6,11.19935750656692,0.0005002088508054654,-0.1328204620309598,-0.01574417093361901,0.0003357875535283119
0.05,0.09,0.0009,20,True,4,5,0.7413083736662626,0.0005045644626114927,-0.001725326034021775,-0.006275278942477152,2.906797711630346e-06
0.05,0.09,0.0009,20,False,6,0,28.5641783961319,0.0005001163946565271,-0.14375396422787218,-0.006929039797386779,-0.00017008499583177862
0.05,0.09,0.0009,20,True,6,7,0.833558280575627,0.0005035750107893046,-0.019390076560030133,0.00926610508177605,-4.445552863530615e-05
0.05,0.09,0.0009,20,False,6,3,29.093411993512724,0.0005001468275417206,-0.14122678488546858,0.012654983516240734,-0.00032099037246406437
0.05,0.09,0.0009,20,True,7,8,0.8809848842837603,0.0005050325560999878,0.005012601577181925,-0.017449178261776038,-6.704420031706069e-06
0.05,0.09,0.0009,20,True,0,1,1.444819232542725,0.0005019077849425508,-0.055758732731211805,-0.006378764609609647,9.304494068195247e-06
0.05,0.09,0.0009,20,False,0,3,23.259763305990333,0.0005001499448649873,-0.13428611217452813,0.0023593496015517166,-0.00010777796484242114
0.05,0.09,0.0009,20,False,0,6,22.757440995581444,0.0005001305480649325,-0.13977178967781728,-0.007225766521663056,-1.0617811016490366e-05
0.05,0.09,0.0009,20,True,1,2,1.0750815846151496,0.0005047052818844783,-0.0010925604836334497,-0.02336338812865201,-3.32217364632464e-05
0.05,0.09,0.0009,20,False,3,0,13.481947341653248,0.0005001188876472748,-0.1467527632712483,-0.009422086823737456,0.0001991032735357074
0.05,0.09,0.0009,20,False,3,6,11.19935750656692,0.0005002088508054654,-0.1328204620309598,-0.01574417093361901,0.0003357875535283119
