sigma_pos,sigma_theta,sigma_encoder,k,connected,limb_id,child_id,cost_per_obs,cov_trace,cj_x,cj_y,cj_theta,movement_name
0.001,0.0017,0.0009,15,False,4,2,1302.401601760178,4.0000017488241783e-07,-0.14934122275542944,-0.0006433489671782585,-0.01318733050416627,-15 to 15 deg
0.001,0.0017,0.0009,15,True,4,5,0.8963391683827335,4.0282726023761474e-07,-0.019838713920944915,-1.1635977261894251e-05,0.0006177458759429403,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,1,1640.9896682444103,4.027817796172065e-07,-0.020940674877890662,-0.0022182364920837997,-0.01606325006889881,-15 to 15 deg
0.001,0.0017,0.0009,15,False,3,1,4660.936153808773,4.0000413318420303e-07,-0.15049896097058432,0.00020856379829457008,-0.03564905953221545,-15 to 15 deg
0.001,0.0017,0.0009,15,False,1,3,1770.5723075815845,4.0000428397429923e-07,-0.15003559799705113,-0.0022847595099512925,-0.012939222602463534,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,3,1254.4892160973218,4.02790829465472e-07,-0.02071149040658751,-0.0017435770344795504,-0.010722458805280543,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,5,1356.1655272709356,4.02790234388892e-07,-0.020727528227786004,0.0016357700463265068,0.007436596232640838,-15 to 15 deg
0.001,0.0017,0.0009,15,False,3,5,4204.933211010532,4.0000694726069354e-07,-0.1502825558382799,0.004210477768535634,-0.009555385239432728,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,3,1309.6806161084576,4.027964938348694e-07,-0.02064714403436409,-0.004466725246404075,-0.028695153099293817,-15 to 15 deg
0.001,0.0017,0.0009,15,False,5,3,1668.7582603585236,4.000037579248028e-07,-0.14995471723726198,-0.0013061929676801724,0.024351271153920096,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,1,1182.318009659972,4.027963371437018e-07,-0.020573783334015473,8.85868739203486e-05,-0.0020656765054753996,-15 to 15 deg
0.001,0.0017,0.0009,15,False,1,5,1298.5854061646257,4.0000367464262793e-07,-0.14952564438648355,-0.0017511434755839226,0.019730681382575346,-15 to 15 deg
0.001,0.0017,0.0009,15,False,5,1,2329.608822639633,4.0000365971375974e-07,-0.15033641660321792,0.001755549343091004,0.02578892454145703,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,5,1215.925060450703,4.0278198951801896e-07,-0.020918525678967827,-0.0016761582744279388,-0.010974071161849926,-15 to 15 deg
0.001,0.0017,0.0009,15,True,0,1,0.9460222028980622,4.0280012849947666e-07,-0.02046503106772854,0.0003488577297297753,0.00017523523640658283,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,2,1308.3680134814788,4.0000004275383855e-07,-0.15025744945874597,-0.00017185401699772846,-0.004630505461579888,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,4,1285.912176775502,4.000000604107611e-07,-0.15039063997432117,-0.00016290023804010326,-0.005270133042986587,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,0,1410.8380007845415,4.0000004484150583e-07,-0.1497356147040251,0.00019848304080997658,0.04109348790753815,-15 to 15 deg
0.001,0.0017,0.0009,15,True,2,3,1.9863735134105704,4.0280261653993146e-07,-0.02040733828505051,0.00021843578637162798,-0.00012125286130586776,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,4,1436.7759547208343,4.0000004723502035e-07,-0.15012669962136102,-1.2520667132166332e-06,0.040841788617494726,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,0,867.9247896127455,4.00000057081694e-07,-0.1496401268066743,0.00016771915992843636,-0.01617782769438566,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,2,865.1964181975073,4.0000004621148993e-07,-0.14990294693054912,-5.06075482933574e-06,-0.015789898629610343,-15 to 15 deg
0.001,0.0017,0.0009,15,True,4,5,1.5867263061069723,4.0283109460094617e-07,-0.019751186262433884,0.0005142066434944761,0.0005173361441302567,-15 to 15 deg
